,intensidad,ocupacion,vmed,cong,anom,outlier
1672,1160,4,60,1,0,0
1673,889,6,59,1,0,0
1674,1449,6,60,1,0,0
1675,1272,6,59,1,0,0
1676,601,2,62,0,0,0
1677,946,5,59,1,0,0
1678,720,5,63,0,0,0
1679,1140,5,55,1,0,0
1680,1110,4,60,1,0,0
1681,859,3,59,1,0,0
1682,1224,6,59,1,0,0
1683,1248,4,64,1,0,0
1684,1152,8,59,1,0,0
1685,1200,5,59,1,0,0
1686,1275,7,62,1,0,0
1687,1139,7,58,1,0,0
1688,1404,7,56,1,0,0
1689,1100,6,55,1,0,0
1690,1320,8,60,1,0,0
1691,1440,7,61,1,0,0
1692,1755,8,60,1,0,0
1693,2041,8,57,1,0,1
1694,1110,6,60,1,0,0
1695,1860,9,56,1,0,0
1696,1439,6,61,1,0,0
1697,1110,5,59,1,0,0
1698,1152,6,62,1,0,0
1699,1080,4,63,1,0,0
1700,1440,7,60,1,0,0
1701,1080,4,63,1,0,0
1702,1365,6,62,1,0,0
1703,1272,5,57,1,0,0
1704,1081,6,59,1,0,0
1705,1516,8,59,1,0,0
1706,1260,6,59,1,0,0
1707,1428,10,56,1,0,0
1708,1572,7,59,1,0,0
1709,1695,9,58,1,0,0
1710,900,7,58,1,0,0
1711,1515,9,55,1,0,0
1712,1452,6,58,1,0,0
1713,1380,6,60,1,0,0
1714,1290,5,60,1,0,0
1715,1764,8,58,1,0,0
1716,1537,5,61,1,0,0
1717,1163,8,60,1,0,0
1718,961,5,61,1,0,0
1719,885,3,60,1,0,0
1720,1151,6,61,1,0,0
1721,1284,4,61,1,0,0
1722,1104,6,59,1,0,0
1723,930,4,61,1,0,0
1724,721,6,59,0,0,0
1725,660,2,64,0,0,0
1726,435,2,63,0,0,0
1727,540,2,65,0,0,0
1728,706,3,63,0,0,0
1729,288,1,62,0,0,0
1730,321,2,68,0,0,0
1731,421,1,64,0,0,0
1732,301,-1,71,0,0,0
1733,180,1,61,0,0,0
1734,100,1,23,0,0,1
1735,0,0,0,0,0,0
1736,105,0,52,0,0,0
1737,196,-1,54,0,0,0
1738,195,1,58,0,0,0
1739,121,-1,60,0,0,0
1740,45,1,16,0,0,0
1741,60,-1,44,0,0,0
1742,48,0,29,0,0,0
1743,73,0,44,0,0,0
1744,73,-1,63,0,0,0
1745,24,0,22,0,0,0
1746,30,0,37,0,0,0
1747,120,-1,58,0,0,0
1748,15,-1,17,0,0,0
1749,45,-1,41,0,0,0
1750,60,1,34,0,0,0
1751,0,0,0,0,0,0
1752,90,1,66,0,0,0
1753,120,-1,67,0,0,0
1754,217,0,55,0,0,0
1755,420,3,64,0,0,0
1756,240,1,71,0,0,0
1757,481,2,69,0,0,0
1758,615,3,63,0,0,0
1759,855,5,66,1,0,0
1760,1092,7,58,1,0,0
1761,930,5,64,1,0,0
1762,1110,6,63,1,0,0
1763,1410,5,62,1,0,0
1764,1300,7,65,1,0,0
1765,1284,6,57,1,0,0
1766,931,5,62,1,0,0
1767,1080,4,74,1,0,1
1768,1005,5,61,1,0,0
1769,959,3,66,1,0,0
1770,1297,6,65,1,0,0
1771,1199,7,63,1,0,0
1772,690,4,60,0,0,0
1773,840,4,60,1,0,0
1774,1080,7,58,1,0,0
1775,1656,8,56,1,0,0
1776,945,4,59,1,0,0
1777,1391,6,61,1,0,0
1778,1066,2,60,1,0,0
1779,1050,6,61,1,0,0
1780,1584,8,60,1,0,0
1781,1369,7,61,1,0,0
1782,1680,10,55,1,0,0
1783,1320,7,60,1,0,0
1784,1619,8,57,1,0,0
1785,1549,6,61,1,0,0
1786,1416,7,60,1,0,0
1787,1428,7,61,1,0,0
1788,1501,6,60,1,0,0
1789,1332,5,64,1,0,0
1790,1548,8,58,1,0,0
1791,1464,5,60,1,0,0
1792,1110,4,62,1,0,0
1793,540,2,57,0,0,0
1794,1381,6,60,1,0,0
1795,1050,5,64,1,0,0
1796,1621,6,58,1,0,0
1797,1081,5,60,1,0,0
1798,1240,7,56,1,0,0
1799,1379,8,60,1,0,0
1800,1364,7,57,1,0,0
1801,1465,7,57,1,0,0
1802,1245,5,60,1,0,0
1803,1580,8,57,1,0,0
1804,480,3,61,0,0,0
1805,2040,11,56,1,0,1
1806,1305,7,61,1,0,0
1807,1740,9,60,1,0,0
1808,1512,5,61,1,0,0
1809,1740,10,58,1,0,0
1810,1404,6,65,1,0,0
1811,1515,8,63,1,0,0
